
AI_Feature,Description,Primary_Users,General_Use_Cases,Specific_Use_Cases,Governance_Security_Considerations,Insight_Quality_Workflow_Fit,Risks_Mitigations,Assessment
Mosaic – Universal Semantic Layer,"Unified semantic layer ensuring single source of truth, robust security, optimized connectors and query acceleration",Architects; admins; all users,Centralize data sources and expose them to multiple BI tools,"Test new connectors (e.g., Snowflake + Databricks) for cross‑source queries; Evaluate concurrency by running multiple Auto Agents against the same model; Use Mosaic to unify definitions for revenue and cost across departments",Define metrics and row‑level security policies; maintain object lineage; monitor via Sentinel,Foundation for AI; ensures consistency and performance across tools,Poorly designed models can degrade all AI outputs; invest in robust design and documentation,Consistency across tools; query performance; integration quality
AI‑Powered Model Creation & Data Cleaning,Auto‑creation and enrichment of models plus data cleansing,Architects,Suggest attributes/hierarchies and clean data,Infer customer hierarchy from raw CRM data; Suggest new metrics like profit margin and evaluate; Evaluate cleaning suggestions for inconsistent date formats,Review AI suggestions before committing; track changes for audit compliance,Speeds modelling and improves data quality; may propose useful metrics,Blindly accepting transformations can introduce errors; manual review is essential,Model quality; data cleanliness; enrichment relevance
Mosaic Sentinel,"Governance platform offering real‑time risk management, audit logs and usage intelligence",Admins; security teams,"Monitor access, detect anomalies and generate compliance reports",Simulate unauthorized access to test anomaly detection; Generate weekly usage reports to identify over‑used models; Track high‑cost queries and adjust compute budgets,Configure policies aligned with governance; review alerts and logs regularly,Adds proactive governance and compliance without hindering analytics,Alert fatigue or false positives; tune thresholds and focus on actionable events,Risk detection effectiveness; audit completeness; alert clarity
AI‑Assisted Python Query Generation,AI guidance to generate and validate Python code for data extraction and import,Data engineers; developers,"Generate code to connect, extract and publish data",Create a Python script to call a REST API and ingest JSON data; Generate code to extract from SFTP and publish to Mosaic; Ask AI to optimize existing Python ETL code,Review generated code for security and efficiency; restrict environment access; follow code review processes,Simplifies integration with non‑standard sources; accelerates ETL development,Insecure code or misconfigurations may occur; conduct code reviews and test in sandbox environments,Code correctness; security; efficiency
Mosaic Model Linking,Link multiple Mosaic models for cross‑domain live queries without duplication,Architects; analysts,Perform multi‑source analysis,Link finance and supply‑chain models to analyze cost of goods sold; Create a federated model linking CRM and web analytics; Test performance of live vs cached queries across linked models,Ensure definition consistency and enforce row‑level security across linked models,Enables holistic analysis and reduces duplication; fits multi‑system architecture,Model complexity could lead to circular dependencies; design carefully and document relationships,Accuracy of links; performance; cross-model consistency
Model Context Protocol (MCP) Integration,Allows external LLMs to discover and interact with Auto Agents,Admins; architects,Integrate with external AI orchestrators,Connect Auto Agents to Microsoft Copilot to automate data preparation workflows; Integrate with Slack’s Claude to summarize real‑time dashboards; Use MCP to trigger notifications when thresholds are exceeded,Secure tokens and restrict actions; audit cross‑platform calls; follow data sharing agreements,Extends AI capabilities beyond MicroStrategy; promotes cross‑platform automation,Sensitive data may leak via third‑party platforms; implement least‑privilege access and strong encryption,Interoperability; security; latency
Mosaic Models & Conversational Analytics,Build AI agents using Mosaic models for natural‑language queries,Business users; analysts,Ask questions through agents without technical skills,Create a 'Finance Agent' to answer profit and loss questions; Build a 'Customer Agent' to answer retention queries; Evaluate ability to interpret ambiguous requests and prompt clarifications,Authenticate users; limit dataset access; monitor agent usage,Facilitates self‑service analytics; depends on model quality and clarity of queries,Misinterpretation of ambiguous requests; provide prompt guidance and test with diverse queries,Response clarity; semantic adherence; ambiguity handling
AI‑Native Time Intelligence,Automatically generates period‑over‑period calculations from natural‑language descriptions,Analysts; business users,Compute previous day/month/quarter/year metrics,Define fiscal year variations and test AI’s ability to compute YoY for fiscal calendars; Calculate moving averages for marketing campaigns; Evaluate time expressions in multiple languages,Standardize time definitions and restrict modifications to admins; document temporal logic,Ensures consistent time logic across analyses; reduces manual effort,Incorrect definitions could mislead; verify calculations and document definitions,Accuracy of period calculations; handling of custom calendars; performance
AI Voice,Hands‑free voice interface to query Auto Agents in web or mobile apps,Mobile users; executives,Ask questions via voice when typing is impractical,"Test voice queries in noisy environments; Evaluate accent recognition (e.g., regional accents) and domain‑specific terms; Combine voice commands with context (e.g., 'Show yesterday’s revenue and last week’s trend')",Implement voice authentication and data privacy controls; offer user opt‑outs,Improves accessibility and convenience; quality depends on speech recognition and context understanding,Misheard commands or privacy concerns; implement confirmation prompts and noise‑robust models,Voice recognition accuracy; response quality; privacy
Unstructured Data Management,Upload and organize documents so agents can use unstructured knowledge,Admins; content curators,Add knowledge like policies or meeting notes for AI reference,Create a repository of SOPs and test agents’ ability to answer policy questions; Upload meeting minutes and extract decisions; Test classification and tagging of documents in multiple languages,Control document access and classification; maintain retention policies; enforce content review,Broadens AI context and improves answer relevance; enhances knowledge base,Sensitive or outdated documents may leak; classify and review content regularly,Classification quality; retrieval accuracy; tagging effectiveness
Key Driver Analysis (Visualization),ML‑based visualization that ranks factors driving a target metric,Analysts; data scientists,Identify drivers behind metrics for insights,"Apply key‑driver analysis to employee satisfaction scores and analyze factors like compensation, training and manager feedback; Evaluate cross‑segment differences (e.g., drivers differ by region); Test interactive filters on driver visualization",Restrict to users with ML privileges; ensure understanding of statistical methods,Provides actionable insights; integrated into dashboards for decision‑making,Overreliance on single‑factor analysis; encourage multivariate analysis and document limitations,Driver selection correctness; visualization clarity; actionability
Unstructured Data Tagging,Use AI to tag unstructured documents so they can be surfaced by queries,Content curators; admins,Categorize documents for retrieval,Tag policies & meeting notes; Tag multi-language docs; Test retrieval by tag,Define tag taxonomy; maintain metadata; restrict access to sensitive tags,Improves search and context; enhances AI answers when retrieving documents,Incorrect tags or misclassification; review tags; maintain guidelines,Tagging accuracy; retrieval improvement; multilingual support
Column Alias Support,Allows alternative column names for flexible data handling,Architects; data stewards,Define synonyms and multi-language labels,Map 'Revenue' to 'Net Sales'; Provide translations for metrics; Test Auto queries using synonyms,Manage alias dictionary; enforce naming standards; review duplicates,Improves natural‑language queries; supports cross‑ling; reduces confusion,Ambiguous synonyms causing wrong matches; test synonyms; refine dictionary,Synonym mapping accuracy; query recognition; multi-language support
I/Me/Mine Personalization,Personalizes AI responses using pronouns linking to user‑specific attributes,Business users; managers,Ask about personal metrics without specifying user,Ask 'What is my pipeline?'; Show my team’s performance; Test pronouns across languages,Implement row‑level security; tie pronouns to identity; audit responses,Enhances user experience; reduces need for filter selection,Mis‑binding pronouns; ensure correct mapping; provide fallback queries,Correct pronoun mapping; user-specific results; security compliance
Export Formatted Datasets,Auto Bot can export complete and formatted datasets to files,Analysts; business users,Extract and share data with formatting,Export aggregated sales data to Excel; Create monthly report as CSV; Test different file formats,Control export privileges; ensure data security; mask sensitive fields,Simplifies offline analysis; supports reporting,Data leakage or outdated exports; schedule refresh; add watermarks,Export correctness; formatting fidelity; ease of use
Universal Agent,Meta‑agent routes queries to multiple specialized bots and aggregates results,Executives; analysts,Ask cross‑domain questions that span multiple bots,Create Sales and Finance bots and ask 'Compare revenue and expenses' through Universal Agent; Summarize HR and operations metrics; Evaluate responses when bots conflict,Define underlying bot scopes; manage agent privileges; monitor aggregated responses,Provides comprehensive answers; reduces context switching,Conflicting results or inconsistent definitions; define priority rules; test aggregated logic,Handling of cross-domain queries; response coherence; delegation accuracy
Follow‑Up to Specific Answers,Reply‑style buttons anchor follow‑up questions to previous answers,Business users; analysts,Guide conversation and refine analysis,Ask 'Explain by region' after a summary; Click reply button to drill down; Test multi‑topic chats anchored to previous results,Ensure conversation logs are stored; restrict navigation to authorized data; provide context resets,Enhances interactive analysis; reduces misinterpretation,Context confusion; provide clear prompts; implement reset options,Anchoring reliability; relevance of follow-ups; ease of use
Ask About Panel,Side panel that lists dataset columns with human‑readable descriptions to help formulate questions,Novice users; business users,Browse available fields before asking a question,Open panel and click a metric to ask targeted question; Train new hires; Test with complex datasets,Expose only allowed columns; ensure descriptions are accurate; update with schema changes,Improves self‑service; reduces mis‑queries; fosters transparency,Information overload; group columns; maintain documentation,Column description clarity; ease of navigation; responsiveness
AI‑Powered Metadata Localization,"Uses AI to translate model attributes, metrics and strings to multiple languages",Architects; global teams,Localize semantic layer for international users,Translate a sales model into Spanish and French; Evaluate translation accuracy; Test auto translation of metric names in dashboards,Manage translation approval; enforce consistency; track changes,Accelerates localization; enables global adoption,Incorrect translations; require linguist review; provide override options,Translation accuracy; coverage; cultural appropriateness
